id,total_reviews,average_rating,average_quality_rating,average_value_rating,aggregate_one_star_review,aggregate_two_star_review,aggregate_three_star_review,aggregate_four_star_review,aggregate_five_star_review,most_helpful_favorable,most_helpful_critical
10000,144,1,2,1,4,3,4,2,4,11,32
9999,151,4,5,3,4,1,4,2,5,47,28
9998,6,3,5,2,3,4,5,4,1,12,49
9997,88,3,1,2,4,5,3,4,4,15,11
9996,17,3,1,5,5,4,2,3,4,7,8
9995,8,5,4,1,4,4,5,1,3,26,31
9994,145,1,1,3,5,3,5,5,1,29,29
9993,167,4,4,4,5,2,5,4,4,11,44
9992,107,4,5,5,2,1,2,5,4,36,15
9991,101,1,4,1,4,5,1,5,1,42,25
9990,136,4,2,1,3,4,2,4,1,23,21
9989,52,2,3,1,2,5,4,3,2,3,31
9988,19,4,1,3,4,3,1,4,3,9,47
9987,130,1,3,2,4,2,1,1,4,34,48
9986,139,1,3,4,1,5,3,2,3,10,35
9985,183,3,1,2,2,3,2,5,1,22,42
9984,17,1,2,5,4,5,1,1,3,5,3
9983,104,3,3,3,3,4,1,1,2,37,16
9982,127,3,4,3,4,1,1,3,1,6,4
9981,85,2,2,3,4,2,2,2,1,33,47
9980,194,2,2,5,2,1,1,1,5,36,15
9979,191,3,3,2,2,1,5,4,3,9,16
9978,96,4,4,5,1,5,4,2,1,13,10
9977,1,5,4,1,2,2,4,3,2,20,35
9976,174,4,3,5,5,3,2,4,4,19,30
9975,49,2,2,2,2,5,5,4,3,3,48
9974,14,5,2,1,5,3,5,3,1,17,43
9973,111,4,3,4,2,3,5,5,2,49,27
9972,75,3,4,4,5,5,1,4,4,49,39
9971,51,4,2,3,1,3,5,3,4,1,6
9970,195,3,5,4,4,3,3,5,2,48,21
9969,83,2,2,4,1,4,5,2,2,5,32
9968,16,4,5,1,3,5,3,4,3,49,5
9967,142,2,3,1,1,2,2,3,2,37,20
9966,53,2,5,2,1,2,2,1,2,17,13
9965,44,1,3,4,2,2,3,2,1,21,47
9964,10,2,4,2,4,5,2,3,4,1,18
9963,95,1,2,3,1,3,2,3,1,10,24
9962,9,3,2,3,2,2,5,2,5,31,19
9961,94,4,1,2,4,3,3,3,3,37,15
9960,136,1,4,4,5,1,2,3,2,39,32
9959,104,2,4,3,5,3,1,4,1,31,44
9958,132,1,3,2,5,4,3,1,4,44,1
9957,108,5,2,5,4,2,3,1,5,36,37
9956,119,3,2,4,3,5,3,4,5,12,18
9955,166,4,1,3,5,2,5,1,2,23,12
9954,171,1,5,5,2,3,2,5,5,7,5
9953,144,4,3,1,2,1,1,4,3,22,35
9952,181,3,1,1,5,2,3,5,5,44,17
9951,32,1,5,2,4,4,5,2,1,17,33
9950,200,5,2,1,1,2,1,1,3,4,34
9949,159,2,4,5,2,3,3,1,1,32,10
9948,146,5,4,2,1,3,2,2,3,33,48
9947,193,1,1,5,1,5,2,2,4,4,35
9946,101,1,3,5,3,5,4,1,2,45,3
9945,17,3,2,1,4,5,2,1,2,40,33
9944,53,4,3,2,5,2,1,1,1,43,41
9943,122,2,1,2,1,3,5,2,2,13,35
9942,31,1,1,1,1,5,4,3,5,9,43
9941,61,1,4,2,5,3,2,2,2,5,18
9940,69,5,3,4,5,1,3,3,3,4,7
9939,30,2,1,3,2,3,2,5,4,12,41
9938,47,5,4,1,1,2,4,2,2,25,32
9937,154,3,3,4,5,3,3,5,1,40,12
9936,162,5,5,4,5,2,2,5,3,31,28
9935,185,5,1,4,4,4,2,5,1,6,5
9934,91,4,1,4,1,4,1,5,3,18,35
9933,69,5,4,1,5,2,3,1,2,26,47
9932,70,5,2,3,5,1,1,1,3,17,20
9931,31,4,2,3,3,4,1,2,1,43,45
9930,25,5,4,4,5,1,3,5,5,19,24
9929,193,1,5,1,3,2,4,4,3,45,41
